Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Country
Financial Accountant,Full Time,on-site,Altajamouat Investment Egypt,"Agouza, Giza",2,24,1,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Accounting/Finance,"['accounting systems', 'analysis', 'invoices', 'reports', 'financial analysis', 'tax', 'budget']",both,901,3,5,Agouza, Giza
Financial Accountant,Full Time,on-site,Abu Gemeaa,"New Cairo, Cairo",19,108,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial', 'excel', 'financial']",both,901,3,6,New Cairo, Cairo
Financial Accountant,Full Time,on-site,Monglish Academy,"Nasr City, Cairo",56,123,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'commerce', 'commercial', 'excel', 'finance', 'insurance', 'microsoft', 'social', 'social insurance', 'commerce accounting', 'financial analysis', 'financial', 'is']",both,901,5,7,Nasr City, Cairo
Financial Accountant,Full Time,on-site,Zamil Steel Buildings Co,"6th of October, Giza",56,79,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Transportation & Medical , Social Insurance",Accounting/Finance,"['accounting', 'finance', 'microsoft', 'manufacturing', 'financial reports', 'english', 'financial analysis', 'microsoft', 'commerce', 'accountant', 'microsoft excel', 'financial']",both,901,1,3,6th of October, Giza
Financial Accountant,Full Time,on-site,Marbella For Food Industry,"Mokattam, Cairo",21,107,2,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance']",both,901,4,7,Mokattam, Cairo
Financial Accountant,Full Time,on-site,SAH Company,"New Nozha, Cairo",25,70,2,Experienced (Non-Manager),Bachelor'S Degree,"10000 To 13000 EGP Per Month, HEALTH INSURANCE After 3 Months.",Accounting/Finance,"['accountant', 'financial', 'finance', 'financial', 'financial accountant']",both,901,5,8,New Nozha, Cairo
Financial Accountant,Full Time,on-site,UCMAS Academy,"Heliopolis, Cairo",19,89,3,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting principles', 'communication', 'finance', 'financial analysis', 'excel', 'financial']",both,901,1,3,Heliopolis, Cairo
Financial Accountant,Full Time,on-site,BS Egypt,"Bolkly, Alexandria",28,217,2,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'bookkeeping', 'financial', 'finance', 'tax', 'excel', 'financial analysis', 'financial', 'banking']",both,901,5,7,Bolkly, Alexandria
Financial Accountant,Full Time,on-site,Green Liner,"10th of Ramadan City, Sharqia",11,63,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accountant', 'accounting', 'accounting software', 'certified public accountant', 'enterprise resource planning', 'excel', 'finance', 'financial', 'financial analysis', 'microsoft excel', 'sap']",both,901,4,6,10th of Ramadan City, Sharqia
Financial Analysis & Budgeting,Full Time,on-site,Macro Group,"Sheraton, Cairo",28,70,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['financial analysis', 'accounting', 'analysis', 'commerce', 'corporate finance', 'financial forecasting', 'forecasting', 'financial', 'finance', 'microsoft', 'economics', 'reporting', 'fmva']",both,901,3,5,Sheraton, Cairo
