Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Applicant_per_position
Accountant,Full Time,on-site,Not Specified,cairo,56,147.0,1,Entry Level (Junior Level / Fresh Grad),Diploma,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'finance', 'excel', 'financial analysis', 'financial']",both,901,1.0,2.0,Downtown,147.0
Accountant,Full Time,on-site,Food Basket Egypt,Giza,28,130.0,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'enterprise resource planning', 'excel', 'finance', 'inventory control']",both,901,0.0,4.0,6th of October,130.0
Accountant,Full Time,on-site,7 Cube,cairo,28,58.0,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Commissions Yearly",Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'financial', 'certified accountant', 'certified public accountant', 'excel', 'gaap', 'general ledger', 'accounting software', 'microsoft excel']",both,901,1.0,2.0,Shorouk City,58.0
Accountant,Full Time,on-site,jfc-glory,cairo,3,58.0,3,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'certified accountant', 'certified public accountant', 'excel', 'finance', 'financial analysis', 'financial', 'gaap', 'general ledger', 'microsoft excel', 'ms']",both,901,10.0,20.0,Maadi,19.0
Accountant,Full Time,on-site,Todos,cairo,13,41.0,1,Experienced (Non-Manager),Bachelor'S Degree,"8000 To 12000 EGP Per Month, Bonus",Accounting/Finance,"['accounting', 'finance', 'enterprise resource planning', 'invoicing', 'tax', 'financial analysis', 'financial', 'insurance', 'medical']",both,901,2.0,5.0,Obour City,41.0
Accountant,Full Time,on-site,Minerals Tech,Giza,18,120.0,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'finance', 'financial analysis', 'financial', 'accounting']",both,901,0.0,2.0,Sheikh Zayed,120.0
Accountant,Full Time,on-site,Smart Direction,cairo,26,100.0,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accountant', 'finance', 'general ledger', 'accounting', 'accounting software', 'certified accountant', 'certified public accountant', 'excel', 'financial analysis', 'financial', 'gaap', 'ms', 'microsoft excel']",Female,901,5.0,10.0,Mokattam,100.0
Accountant,Full Time,on-site,Global conveyor technology,cairo,56,147.0,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accountant', 'accounting', 'finance', 'financial analysis', 'financial']",both,901,1.0,1.0,Maadi,147.0
Accountant,Full Time,on-site,Mantle International,cairo,56,41.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'training', 'accountant', 'english']",both,901,3.0,,Cairo,41.0
Accountant,Full Time,on-site,Serioplast,Giza,13,59.0,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Transportation Medical Insurance",Accounting/Finance,"['ap', 'finance', 'general ledger', 'accounting']",both,901,2.0,5.0,6th of October,59.0
Accountant,Full Time,on-site,ghannam vet,cairo,56,155.0,4,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accountant', 'enterprise resource planning', 'finance', 'commerce']",both,901,1.0,2.0,Nasr City,38.0
Accountant,Full Time,on-site,Outsourcing Skill,cairo,56,102.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'finance', 'certified public accountant', 'certified accountant', 'microsoft excel', 'ms', 'financial analysis', 'financial']",both,901,1.0,2.0,Maadi,102.0
Accountant,Full Time,on-site,Blue Nile Boat Maadi,cairo,56,134.0,5,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'financial analysis', 'financial']",both,901,4.0,11.0,Maadi,26.0
Accountant,Full Time,on-site,Monstel,Giza,56,61.0,1,Experienced (Non-Manager),Not Specified,6000 To 8000 EGP Per Month,Accounting/Finance,"['accounting', 'advanced excel', 'financial', 'odoo', 'financial', 'financial analysis', 'finance', 'excel']",both,901,4.0,5.0,Sheikh Zayed,61.0
Accountant,Full Time,on-site,egyptian office,cairo,28,93.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'financial', 'financial accounting', 'financial', 'accounting software', 'gaap', 'general ledger', 'ms', 'microsoft excel', 'quickbooks', 'excel', 'software']",both,901,3.0,10.0,Heliopolis,93.0
Accountant,Full Time,on-site,Not Specified,Giza,5,47.0,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'commerce']",both,901,0.0,2.0,6th of October,47.0
Accountant,Full Time,on-site,ش شركة العمودي لإستشارات المحاسبة | الزكاة | الضريبة,cairo,25,93.0,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'arabic', 'tax', 'income statement', 'financial', 'business', 'commerce', 'english', 'finance', 'financial analysis', 'financial']",Male,901,1.0,3.0,Cairo,46.0
Accountant,Full Time,on-site,PC,cairo,28,71.0,2,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'financial analysis', 'finance', 'business', 'general ledger', 'financial', 'tax accounting', 'tax law', 'microsoft excel', 'english', 'accounting principles', 'analytical']",both,901,2.0,6.0,New Cairo,35.0
Accountant,Full Time,on-site,Pyramids Pharmacy,Giza,28,76.0,1,Entry Level (Junior Level / Fresh Grad),Not Specified,"Confidential, Annual Bonus Monthly Bonus Monthly Outing/ Lunch",Accounting/Finance,"['accounting', 'financial', 'finance', 'microsoft excel']",both,901,1.0,,6th of October,76.0
Accountant,Full Time,on-site,Adaks,Alexandria,56,351.0,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'accounting', 'excel', 'enterprise resource planning', 'microsoft', 'communication', 'erp system', 'financial analysis', 'financial', 'finance']",both,901,1.0,3.0,Alexandria,351.0
Accountant,Full Time,on-site,torino for real estate developments,Alexandria,56,174.0,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'financial']",both,901,2.0,3.0,Glim,174.0
Accountant,Full Time,on-site,كنوز المخابئ للأزياء,cairo,28,56.0,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'accounting', 'finance', 'financial analysis', 'financial', 'financial accounting', 'erp system']",both,901,2.0,4.0,10th of Ramadan City,28.0
Accountant,Full Time,on-site,Al Ahly capital holding - Al Ahly Tamkeen,cairo,28,187.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'financial', 'general ledger']",both,901,1.0,3.0,Zamalek,187.0
Accountant,Full Time,on-site,Smart GYM,cairo,27,53.0,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'financial analysis', 'auditing', 'certified public accountant', 'detail oriented', 'financial auditing', 'auditing standards', 'internal auditor', 'auditor', 'financial auditor', 'accounting principles', 'financial', 'accountant']",Female,901,2.0,,New Cairo,53.0
Accountant,Full Time,on-site,swvt company for tools,cairo,56,50.0,1,Experienced (Non-Manager),Bachelor'S Degree,"7000 To 8000 EGP Per Month, Commission",Accounting/Finance,"['accounting', 'excel', 'odoo', 'finance', 'analysis', 'financial', 'financial analysis', 'financial', 'microsoft', 'problem solving', 'accounting principles']",both,901,2.0,3.0,Azbakia,50.0
Accountant,Full Time,on-site,Real Nutrition,cairo,2,307.0,3,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'excel', 'financial analysis', 'accounting software', 'certified accountant', 'certified public accountant', 'finance', 'financial', 'gaap', 'general ledger', 'ms', 'microsoft excel']",both,901,0.0,3.0,Nasr City,102.0
Accountant,Full Time,on-site,Mission Consulting,cairo,10,130.0,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['crm software', 'communication', 'accounting', 'certified accountant', 'certified public accountant', 'accounting software', 'financial', 'gaap', 'financial analysis', 'finance', 'general ledger']",both,901,1.0,3.0,New Cairo,130.0
Accountant,Full Time,on-site,Logitime Egypt,cairo,17,66.0,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'accounting software', 'excel', 'finance', 'microsoft excel', 'quickbooks']",Male,901,2.0,5.0,Heliopolis,66.0
Accountant,Full Time,on-site,ElTarek Group,Alexandria,28,292.0,2,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'microsoft excel', 'analytical', 'finance', 'financial analysis', 'financial', 'ms', 'excel']",both,901,2.0,3.0,Alexandria,146.0
Accountant,Full Time,on-site,Ertqaa,cairo,24,59.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'construction', 'contracting', 'finance', 'financial analysis', 'financial']",both,901,3.0,5.0,New Cairo,59.0
Accountant,Full Time,on-site,الهنا و الحياه تكستايلز,Sharqia,11,41.0,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,6500 To 8500 EGP Per Month,Accounting/Finance,"['accounting principles', 'excel', 'accounting', 'finance', 'financial analysis', 'financial', 'certified public accountant', 'certified accountant', 'analytical', 'microsoft excel']",both,901,1.0,2.0,10th of Ramadan City,20.0
Accountant,Full Time,on-site,Arcelormittal Egypt,cairo,4,29.0,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial', 'excel']",both,901,1.0,3.0,Badr City,29.0
Accountant,Full Time,on-site,Raya Distribution,Giza,13,549.0,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting principles', 'egyptian tax', 'english section', 'english', 'financial', 'oracle', 'tax', 'tax regulations', 'financial analysis', 'finance']",both,901,0.0,2.0,Giza,549.0
